[001] P0630 P0630 U0168 P0513: E4872=02
[002] P0647 P0646 P0645 P0647: E4873=00
[003] P0533 P0532 U1113 -----: E4874=02
[004] P0606 P0606 P0606 P0606: E4875=00
[005] ----- ----- ----- -----: E4876=02
[006] ----- ----- ----- -----: E4877=00
[007] P0101 P0101 ----- -----: E4878=25
[008] P0103 P0102 ----- -----: E4879=16
[009] B10B5 B10B4 B10B6 B10B5: E487A=02
[010] ----- ----- ----- -----: E487B=00
[011] P2123 P2122 ----- P2138: E487C=02
[012] P2128 P2127 ----- P2138: E487D=02
[013] ----- ----- ----- -----: E487E=00
[014] P0606 P0606 P0606 P0606: E487F=17
[015] P0839 P0838 P0837 P0836: E4880=02
[016] ----- ----- ----- P2299: E4881=02
[017] P0402 ----- ----- -----: E4882=10
[018] ----- P0401 ----- -----: E4883=10
[019] B1C32 ----- ----- -----: E4884=02
[020] U0422 U0422 ----- -----: E4885=02
[021] P0563 P0562 ----- -----: E4886=02
[022] ----- ----- ----- -----: E4887=00
[023] P0048 ----- ----- -----: E4888=17
[024] ----- P0047 ----- -----: E4889=17
[025] ----- ----- P0045 P0048: E488A=17
[026] P0108 P0107 ----- P0069: E488B=17
[027] P0563 P0562 ----- -----: E488C=17
[028] ----- ----- ----- P0504: E488D=16
[029] ----- ----- ----- -----: E488E=00
[030] P0118 P0117 ----- -----: E488F=17
[031] ----- ----- ----- P0128: E4890=25
[032] P0301 ----- ----- -----: E4891=08
[033] P0302 ----- ----- -----: E4892=08
[034] P0303 ----- ----- -----: E4893=08
[035] P0304 ----- ----- -----: E4894=08
[036] ----- ----- ----- -----: E4895=00
[037] ----- ----- ----- -----: E4896=00
[038] P0300 ----- ----- -----: E4897=08
[039] ----- ----- ----- -----: E4898=00
[040] ----- ----- P0830 P0830: E4899=17
[041] ----- ----- ----- P0833: E489A=17
[042] ----- ----- ----- -----: E489B=00
[043] P0581 P0580 P0578 P0579: E489C=02
[044] P0593 P0592 P0590 P0591: E489D=02
[045] ----- ----- ----- P0585: E489E=02
[046] P0073 P0072 ----- -----: E489F=17
[047] ----- ----- P0610 P0610: E48A0=17
[048] P0602 P0602 P0602 P0602: E48A1=17
[049] ----- ----- ----- -----: E48A2=00
[050] P0490 ----- ----- -----: E48A3=17
[051] ----- P0489 ----- -----: E48A4=17
[052] ----- ----- P0403 P0490: E48A5=17
[053] P0340 P0340 ----- -----: E48A6=17
[054] P0344 P0344 ----- -----: E48A7=17
[055] P0335 P0335 ----- -----: E48A8=02
[056] P0339 P0339 ----- -----: E48A9=17
[057] P1001 P1002 U1421 -----: E48AA=16
[058] P0463 P0462 U110C -----: E48AB=02
[059] ----- ----- ----- P1670: E48AC=02
[060] P0183 P0182 ----- -----: E48AD=17
[061] ----- ----- ----- P0181: E48AE=16
[062] P0692 P0691 P0480 P0692: E48AF=02
[063] P0694 P0693 P0481 P0694: E48B0=02
[064] P2267 P2266 U1130 -----: E48B1=02
[065] U0415 U0415 ----- -----: E48B2=17
[066] ----- ----- ----- -----: E48B3=00
